Time,Cell,F,lick,lickpoint,licking
0.099918, C00,0.0,0,0,
0.199836, C00,0.0,0,0,
0.299754, C00,0.0,0,0,
0.399672, C00,0.0,0,0,
0.49959, C00,0.0,0,0,
0.599508, C00,0.0,0,0,
0.699426, C00,0.0,0,0,
0.799344, C00,0.0,0,0,
0.899262, C00,0.0,0,0,
0.99918, C00,0.0,0,0,
1.099098, C00,0.0,0,0,
1.199016, C00,0.0,0,0,
1.298934, C00,0.0,0,0,
1.398852, C00,0.0,0,0,
1.49877, C00,0.0,0,0,
1.598688, C00,0.0,0,0,
1.698606, C00,0.0,0,0,
1.798524, C00,0.0,0,0,
1.898442, C00,0.0,0,0,
1.99836, C00,0.0,0,0,
2.098278, C00,0.0,0,0,
2.198196, C00,0.0,0,0,
2.298114, C00,0.0,0,0,
2.398032, C00,0.0,0,0,
2.49795, C00,0.0,0,0,
2.597868, C00,0.0,0,0,
2.697786, C00,0.0,0,0,
2.797704, C00,0.0,0,0,
2.897622, C00,0.0,0,0,
2.99754, C00,0.0,0,0,
3.097458, C00,0.0,0,0,
3.197376, C00,0.0,0,0,
3.297294, C00,0.0,0,0,
3.397212, C00,0.0,0,0,
3.49713, C00,0.0,0,0,
3.597048, C00,0.0,0,0,
3.696966, C00,0.0,0,0,
3.796884, C00,0.0,0,0,
3.896802, C00,0.0,0,0,
3.99672, C00,0.0,0,0,
4.096638, C00,0.0,0,0,
4.196556, C00,0.0,0,0,
4.296474, C00,0.0,0,0,
4.396392, C00,0.0,0,0,
4.49631, C00,0.0,0,0,
4.596228, C00,0.0,0,0,
4.696146, C00,0.0,0,0,
4.796064, C00,0.0,0,0,
4.895982, C00,0.0,0,0,
4.9959, C00,0.0,0,0,
5.095818, C00,0.0,0,0,
5.195736, C00,0.0,0,0,
5.295654, C00,0.0,0,0,
5.395572, C00,0.0,0,0,
5.49549, C00,0.0,0,0,
5.595408, C00,0.0,0,0,
5.695326, C00,0.0,0,0,
5.795244, C00,0.0,0,0,
5.895162, C00,0.0,0,0,
5.99508, C00,0.0,0,0,
6.094998, C00,0.0,0,0,
6.194916, C00,0.0,0,0,
6.294834, C00,0.0,0,0,
6.394752, C00,0.0,0,0,
6.49467, C00,0.0,0,0,
6.594588, C00,0.0,0,0,
6.694506, C00,0.0,0,0,
6.794424, C00,0.0,0,0,
6.894342, C00,0.0,0,0,
6.99426, C00,0.0,0,0,
7.094178, C00,0.0,0,0,
7.194096, C00,0.0,0,0,
7.294014, C00,0.0,0,0,
7.393932, C00,0.0,0,0,
7.49385, C00,0.0,0,0,
7.593768, C00,0.0,0,0,
7.693686, C00,0.0,0,0,
7.793604, C00,0.0,0,0,
7.893522, C00,0.0,0,0,
7.99344, C00,0.0,0,0,
8.093358, C00,0.0,0,0,
8.193276, C00,0.0,0,0,
8.293194, C00,0.0,0,0,
8.393112, C00,0.0,0,0,
8.49303, C00,0.0,0,0,
8.592948, C00,0.0,0,0,
8.692866, C00,0.0,0,0,
8.792784, C00,0.0,0,0,
8.892702, C00,0.0,0,0,
8.99262, C00,0.0,0,0,
9.092538, C00,0.0,0,0,
9.192456, C00,0.0,0,0,
9.292374, C00,0.0,0,0,
9.392292, C00,0.0,0,0,
9.49221, C00,0.0,0,0,
9.592128, C00,0.0,0,0,
9.692046, C00,0.0,0,0,
9.791964, C00,0.0,0,0,
9.891882, C00,0.0,0,0,
9.9918, C00,0.0,0,0,
10.091718, C00,0.0,0,0,
10.191636, C00,0.0,0,0,
10.291554, C00,0.0,0,0,
10.391472, C00,0.0,0,0,
10.49139, C00,0.0,0,0,
10.591308, C00,0.0,0,0,
10.691226, C00,0.0,0,0,
10.791144, C00,0.0,0,0,
10.891062, C00,0.0,0,0,
10.99098, C00,0.0,0,0,
11.090898, C00,0.0,0,0,
11.190816, C00,0.0,0,0,
11.290734, C00,0.0,0,0,
11.390652, C00,0.0,0,0,
11.49057, C00,0.0,0,0,
11.590488, C00,0.0,0,0,
11.690406, C00,0.0,0,0,
11.790324, C00,0.0,0,0,
11.890242, C00,0.0,0,0,
11.99016, C00,0.0,0,0,
12.090078, C00,0.0,0,0,
12.189996, C00,0.0,0,0,
12.289914, C00,0.0,0,0,
12.389832, C00,0.0,0,0,
12.48975, C00,0.0,0,0,
12.589668, C00,0.0,0,0,
12.689586, C00,0.0,0,0,
12.789504, C00,0.0,0,0,
12.889422, C00,0.0,0,0,
12.98934, C00,0.0,0,0,
13.089258, C00,0.0,0,0,
13.189176, C00,0.0,0,0,
13.289094, C00,0.0,0,0,
13.389012, C00,0.0,0,0,
13.48893, C00,0.0,0,0,
13.588848, C00,0.0,0,0,
13.688766, C00,0.0,0,0,
13.788684, C00,0.0,0,0,
